0.03 0.92 -0.71 Quat Yaw: 130.65 Yaw: 130.62
-0.27 0.61 0.03 Quat Yaw: 132.32 Yaw: 132.25
0.32 -0.42 1.07 Quat Yaw: 134.66 Yaw: 134.56
0.74 -1.36 0.96 Quat Yaw: 135.41 Yaw: 135.31
0.73 -0.87 -0.22 Quat Yaw: 134.08 Yaw: 133.81
0.20 -0.22 -1.13 Quat Yaw: 131.94 Yaw: 131.94
0.42 -0.39 -0.98 Quat Yaw: 131.28 Yaw: 131.19
0.32 -0.38 0.42 Quat Yaw: 130.86 Yaw: 130.69
0.60 -0.33 0.56 Quat Yaw: 131.93 Yaw: 131.69
1.88 0.09 -0.41 Quat Yaw: 133.87 Yaw: 133.75
0.44 0.30 -0.42 Quat Yaw: 135.02 Yaw: 134.94
0.39 0.55 -0.49 Quat Yaw: 136.66 Yaw: 136.62
-0.16 0.14 -0.14 Quat Yaw: 138.12 Yaw: 138.06
-0.22 -0.22 1.35 Quat Yaw: 138.07 Yaw: 137.94
0.64 -0.99 0.97 Quat Yaw: 137.56 Yaw: 137.50
0.36 -0.98 0.02 Quat Yaw: 137.24 Yaw: 137.25
-0.17 -0.71 -1.02 Quat Yaw: 136.35 Yaw: 136.31
-0.22 -0.59 -1.22 Quat Yaw: 135.64 Yaw: 135.50
-0.49 -0.72 0.11 Quat Yaw: 135.27 Yaw: 135.00
0.24 -0.95 0.83 Quat Yaw: 136.51 Yaw: 136.25
1.23 -0.31 -0.29 Quat Yaw: 137.42 Yaw: 137.37
0.07 0.03 -0.50 Quat Yaw: 138.23 Yaw: 138.19
-0.26 0.22 -0.87 Quat Yaw: 139.18 Yaw: 139.12
-0.23 0.06 -0.26 Quat Yaw: 139.79 Yaw: 139.75
0.24 -0.69 1.47 Quat Yaw: 139.46 Yaw: 139.37
0.42 -1.24 1.44 Quat Yaw: 138.28 Yaw: 138.19
0.03 -0.73 -0.14 Quat Yaw: 136.07 Yaw: 136.06
-0.28 -0.30 -1.08 Quat Yaw: 134.25 Yaw: 134.25
-0.10 -0.42 -1.20 Quat Yaw: 133.50 Yaw: 133.44
-0.14 -0.86 0.48 Quat Yaw: 132.87 Yaw: 132.69
0.54 -0.53 0.68 Quat Yaw: 133.92 Yaw: 133.75
1.04 -0.44 -0.36 Quat Yaw: 135.79 Yaw: 135.62
0.26 -0.34 -0.62 Quat Yaw: 136.90 Yaw: 136.87
-0.36 0.07 -0.71 Quat Yaw: 136.81 Yaw: 136.81
-0.58 -0.04 0.03 Quat Yaw: 137.29 Yaw: 137.25
-0.21 -0.78 1.40 Quat Yaw: 137.28 Yaw: 137.19
0.25 -0.84 1.04 Quat Yaw: 135.63 Yaw: 135.62
0.14 -0.58 -0.54 Quat Yaw: 134.02 Yaw: 133.87
-0.41 -0.16 -1.09 Quat Yaw: 132.61 Yaw: 132.56
0.11 -0.35 -0.99 Quat Yaw: 132.77 Yaw: 132.69
-0.08 -0.59 1.03 Quat Yaw: 132.86 Yaw: 132.75
0.09 -0.66 1.06 Quat Yaw: 134.78 Yaw: 134.69
1.39 -0.65 -0.47 Quat Yaw: 136.99 Yaw: 136.94
0.31 -0.11 -0.69 Quat Yaw: 137.86 Yaw: 137.87
-0.33 0.34 -0.96 Quat Yaw: 138.45 Yaw: 138.44
-0.35 0.36 -0.75 Quat Yaw: 139.28 Yaw: 139.25
-0.12 -0.29 0.79 Quat Yaw: 138.85 Yaw: 138.81
0.45 -0.99 1.60 Quat Yaw: 138.33 Yaw: 138.19
0.79 -0.80 0.36 Quat Yaw: 137.90 Yaw: 137.87
0.02 -0.35 -0.70 Quat Yaw: 136.90 Yaw: 136.87
0.25 -0.33 -1.02 Quat Yaw: 136.25 Yaw: 136.25
0.03 -0.78 0.26 Quat Yaw: 136.94 Yaw: 136.81
0.16 -0.93 0.90 Quat Yaw: 138.74 Yaw: 138.69
1.35 -0.34 -0.51 Quat Yaw: 140.48 Yaw: 140.37
0.68 0.34 -0.61 Quat Yaw: 141.46 Yaw: 141.44
0.16 0.62 -0.93 Quat Yaw: 142.68 Yaw: 142.62
-0.00 0.44 -0.28 Quat Yaw: 143.61 Yaw: 143.56
-0.09 -0.05 0.94 Quat Yaw: 142.99 Yaw: 142.94
0.29 -0.87 1.45 Quat Yaw: 142.61 Yaw: 142.56
0.62 -0.81 0.30 Quat Yaw: 141.50 Yaw: 141.44
-0.47 -0.46 -0.78 Quat Yaw: 139.76 Yaw: 139.75
-0.39 -0.44 -1.22 Quat Yaw: 138.80 Yaw: 138.75
0.02 -0.75 -0.13 Quat Yaw: 138.09 Yaw: 138.00
0.63 -0.52 1.03 Quat Yaw: 138.05 Yaw: 137.94
1.62 -0.47 0.17 Quat Yaw: 139.68 Yaw: 139.62
0.59 0.13 -0.85 Quat Yaw: 140.88 Yaw: 140.94
0.05 0.27 -0.81 Quat Yaw: 142.26 Yaw: 142.19
-0.15 0.34 -0.71 Quat Yaw: 142.74 Yaw: 142.69
-0.01 -0.21 0.66 Quat Yaw: 143.26 Yaw: 143.25
0.28 -0.91 1.51 Quat Yaw: 143.19 Yaw: 143.12
0.90 -0.98 0.79 Quat Yaw: 142.13 Yaw: 142.06
-0.10 -0.59 -0.14 Quat Yaw: 140.61 Yaw: 140.56
-0.38 -0.12 -1.11 Quat Yaw: 139.56 Yaw: 139.44
-0.41 -0.31 -0.65 Quat Yaw: 139.10 Yaw: 139.00
0.09 -0.49 1.03 Quat Yaw: 138.78 Yaw: 138.69
0.84 -0.48 0.17 Quat Yaw: 140.08 Yaw: 139.94
1.02 -0.18 -0.73 Quat Yaw: 141.93 Yaw: 141.81
0.18 0.16 -0.69 Quat Yaw: 142.82 Yaw: 142.75
-0.04 0.21 -0.65 Quat Yaw: 143.57 Yaw: 143.62
-0.11 0.00 0.47 Quat Yaw: 143.90 Yaw: 143.87
0.44 -0.94 1.55 Quat Yaw: 144.00 Yaw: 143.87
0.55 -0.94 0.44 Quat Yaw: 142.76 Yaw: 142.69
-0.47 -0.47 -0.57 Quat Yaw: 141.33 Yaw: 141.31
-0.49 -0.31 -1.31 Quat Yaw: 140.64 Yaw: 140.56
-0.30 -0.48 -0.84 Quat Yaw: 140.46 Yaw: 140.37
-0.25 -0.59 0.98 Quat Yaw: 140.02 Yaw: 139.87
1.15 -0.84 0.42 Quat Yaw: 141.10 Yaw: 140.94
1.47 -0.19 -0.63 Quat Yaw: 142.41 Yaw: 142.37
0.52 0.40 -0.25 Quat Yaw: 143.18 Yaw: 143.12
-0.01 0.59 -0.88 Quat Yaw: 144.34 Yaw: 144.31
-0.25 0.48 0.26 Quat Yaw: 144.74 Yaw: 144.69
-0.13 -0.60 1.65 Quat Yaw: 145.15 Yaw: 145.12
0.34 -1.22 1.11 Quat Yaw: 144.59 Yaw: 144.56
-0.44 -0.89 -0.41 Quat Yaw: 143.60 Yaw: 143.37
-0.54 -0.34 -1.40 Quat Yaw: 142.24 Yaw: 142.19
-0.16 -0.51 -0.97 Quat Yaw: 141.46 Yaw: 141.37
-0.08 -0.63 0.97 Quat Yaw: 140.67 Yaw: 140.56
0.43 -0.46 0.76 Quat Yaw: 141.49 Yaw: 141.37
1.43 -0.11 -0.50 Quat Yaw: 142.75 Yaw: 142.75
0.24 0.39 -0.65 Quat Yaw: 143.88 Yaw: 143.87
-0.18 0.62 -1.07 Quat Yaw: 145.03 Yaw: 145.00
-0.18 0.47 -0.24 Quat Yaw: 145.64 Yaw: 145.56
0.08 -0.31 1.62 Quat Yaw: 145.30 Yaw: 145.19
0.55 -1.17 1.21 Quat Yaw: 145.21 Yaw: 145.12
-0.15 -0.97 0.28 Quat Yaw: 143.81 Yaw: 143.75
-0.44 -0.46 -0.98 Quat Yaw: 142.55 Yaw: 142.50
0.04 -0.71 -0.87 Quat Yaw: 142.43 Yaw: 142.31
-0.10 -0.75 0.81 Quat Yaw: 141.92 Yaw: 141.75
0.67 -0.84 1.09 Quat Yaw: 142.90 Yaw: 142.94
1.59 -0.45 -0.71 Quat Yaw: 143.75 Yaw: 143.69
0.29 0.37 -1.21 Quat Yaw: 143.96 Yaw: 143.94
-0.27 0.81 -1.19 Quat Yaw: 144.02 Yaw: 144.00
-0.07 0.29 -0.27 Quat Yaw: 144.50 Yaw: 144.44
0.01 -0.82 1.34 Quat Yaw: 144.27 Yaw: 144.12
0.57 -1.70 1.51 Quat Yaw: 143.35 Yaw: 143.06
0.30 -0.55 -0.44 Quat Yaw: 141.23 Yaw: 141.12
-0.19 0.14 -1.51 Quat Yaw: 139.47 Yaw: 139.37
-0.61 -0.14 -0.96 Quat Yaw: 138.49 Yaw: 138.19
-0.09 -0.48 1.13 Quat Yaw: 138.13 Yaw: 137.75
0.22 -0.25 1.16 Quat Yaw: 137.92 Yaw: 137.56
1.86 -0.65 -0.71 Quat Yaw: 138.23 Yaw: 138.06
0.94 0.06 -0.50 Quat Yaw: 139.78 Yaw: 139.81
0.03 0.30 -0.44 Quat Yaw: 141.42 Yaw: 141.31
0.21 0.45 0.26 Quat Yaw: 142.30 Yaw: 142.12
0.65 -1.09 1.51 Quat Yaw: 142.31 Yaw: 142.12
-0.17 -1.55 1.03 Quat Yaw: 141.03 Yaw: 140.81
-0.32 -1.13 -1.06 Quat Yaw: 138.98 Yaw: 138.62
-0.46 -0.22 -1.86 Quat Yaw: 137.10 Yaw: 136.94
0.25 -0.04 -0.95 Quat Yaw: 135.20 Yaw: 135.06
-0.42 -0.23 0.84 Quat Yaw: 134.76 Yaw: 134.56
-0.09 -0.48 1.43 Quat Yaw: 136.21 Yaw: 136.00
0.66 -1.53 -0.29 Quat Yaw: 137.79 Yaw: 137.62
0.23 -0.17 -0.77 Quat Yaw: 138.74 Yaw: 138.62
0.04 -0.02 -0.89 Quat Yaw: 139.15 Yaw: 139.06
